,0
0,accommodation
1,agriculture
2,affection
3,alchemy
4,adhesion
5,anatomy
6,animals
7,architecture
8,appearance
9,art
10,astrology
11,assistance
12,breathing
13,character_traits__nature
14,cleaning
15,clothes
16,colors
17,commands
18,concealment
19,consumption
20,courting
21,danger__safety
22,darkness
23,death
24,deception
25,deformities__disabilities
26,derision__offense___contempt
27,destruction
28,devotion
29,discovering
30,domestic
31,economics
32,education
33,emotions
34,equestrian
35,ethics
36,ethnicity__nationality
37,etiquette
38,facial_expressions
39,familial
40,feelings
41,fire
42,food
43,games__sports
44,geography
45,greetings
46,heraldry
47,hindrance
48,historical
49,humanity
50,hunting__fishing
51,incarceration
52,injuries
53,joviality
54,judiciary
55,labor
56,language
57,life
58,lifes_cycle
59,light
60,luck
61,matrimony
62,materials
63,medicine
64,men
65,mental_faculty__state__entities
66,military
67,movement
68,music
69,mystical
70,myth
71,nature
72,nautical
73,physical_activities
74,physical_attributes
75,politics
76,preservation
77,privation
78,quantities
79,recognition
80,religion
81,reproduction
82,resistance
83,sensations
84,sexuality
85,size
86,sleep
87,social_relations
88,social_status
89,social_unrest
90,sounds
91,spatial
92,speed
93,suffering
94,temperature
95,theatre
96,time
97,transformation
98,urban
99,violence
100,weapons__armor
101,weight
102,women
