Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"Fortune, not Reason, rules the state of things,",mystical,mental_faculty__state__entities,politics,nature,,,
"Reward goes backwards,",economics,movement,spatial,,,,
Honor on his head;,recognition,anatomy,,,,,
"Who is not poore, is monstrous; ",economics,deformities__disabilities,,,,,
only Need Giues forme & worth to every humane seed.,emotions,appearance,economics,humanity,architecture,,
"As Cedars beaten with incessant stormes, So great men flourish;",nature,violence,social_status,politics,,,
"[great men] imitate Vnskilfull statuaries, who suppose (In forging a Colossus) if they make him Stroddle enough, stroote, and looke big, and gape, Their worke is goodly: ",social_status,art,appearance,movement,size,facial_expressions,labor
 our Tympanist statists  Thinke they beare all the kingdomes worth before them;,sounds,politics,labor,economics,,,
"[Statists] affected grauitie of voice, Sowernesse of countenance, [] and all the spawn of Fortune",politics,mental_faculty__state__entities,sounds,facial_expressions,etiquette,reproduction,mystical
"[Statists] manners cruelty, Authority, wealth and all the spawn of Fortune",politics,etiquette,character_traits__nature,economics,reproduction,mystical,
"[statists] differ not from those Colossicke Statues, Which with Heroique formes, without o'respread, Within are nought but morter, flint and lead.",politics,art,character_traits__nature,appearance,spatial,materials,
Man is a Torch borne in the winde; ,men,fire,labor,nature,,,
"[Man is] a Dreame But of a shadow, summ'd with all his substance;",men,mental_faculty__state__entities,darkness,economics,,,
"as great Seamen vsing all their powers And skils in Neptunes deepe inuisible pathes,",nautical,physical_attributes,mental_faculty__state__entities,myth,appearance,geography,
"In tall ships richly built and ribd with brasse, To put a Girdle round about the world,",nautical,economics,clothes,geography,nature,,
"when we wander furthest through the waues Of Glassie Glorie and the Gulfes of State,",movement,spatial,nature,materials,recognition,geography,politics
"Topt with all Titles, spreading all our reaches, As if each priuate Arme would sphere the world;",social_status,politics,anatomy,spatial,nature,,
"A poore staid fisher-man, that neuer past His Contries sight, to waft and guide them in , Wee must to vertue for her guide resort, Or wee shall shipwracke in our safest Port.",social_status,hunting__fishing,politics,sensations,education,ethics,nautical
There is no second place in Numerous State That holds more than a Cypher: In a King All places are contain'd. ,games__sports,social_status,politics,quantities,spatial,,
"[The King's] His words and lookes Are like the flashes and the bolts of Ioue,",politics,language,light,nature,religion,,
"[The King's] His deedes inimitable, like the Sea That shuts still as it opes, and leaues no tracts,",politics,character_traits__nature,nature,hindrance,privation,spatial,
"[[The King's] His deedes inimitable, like the Sea]  Nor prints of President for poore mens facts:",politics,character_traits__nature,nature,privation,language,judiciary,economics
"There's but a Thred between me and a Croune; I would not wish it cut, vnlesse by nature;",clothes,politics,emotions,violence,nature,,
"A man of spirit beyond the reach of feare, [...who] Neglects the light, and loves obscure Abodes;",character_traits__nature,spatial,emotions,privation,light,mental_faculty__state__entities,accommodation
"apt to take Fire at aduancement, [] In his Rise therefore shall my bounties shine:",character_traits__nature,fire,social_status,physical_activities,ethics,light,
gold and grace will make him surfet of it [the world],economics,religion,food,nature,,,
"Turn'd to Earth, aliue?",transformation,nature,life,,,,
"Let it [the sun] shine. I am no mote to play in't, as great men are.",nature,light,materials,games__sports,politics,,
"men great in state, motes in the sunne?",politics,materials,nature,,,,
"They say so that would have thee freeze in shades,",language,temperature,darkness,,,,
"That (like the grosse Sicilian Gurmundist) Emptie their Noses in the Cates they loue, That none may eat but they. ",ethnicity__nationality,food,privation,anatomy,emotions,,
"Do you but bring Light to the Banquet Fortune sets before thee,",light,food,mystical,,,,
you wilt loth leane Darkenesse like your Death.,emotions,food,darkness,death,,,
Who would beleeue your Mettall could let sloth Rust and consume it? ,mental_faculty__state__entities,materials,character_traits__nature,consumption,,,
Epaminondas  paid his Countrie nor himselfe their right ,historical,economics,politics,,,,
"Epaminondas [] But putting foorth his strength, he rescude both From imminent ruine; and like Burnisht Steele, After long vse he shin'd;",historical,politics,assistance,destruction,weapons__armor,consumption,light
"Leaue the troubled streames, And live as Thriuers do at the Well head.",privation,nature,life,economics,,,
At the Wellhead? Alas what should I do With that enchanted Glasse? See diuels there?,nature,mystical,materials,religion,,,
"[at the wellhead] (like a strumpet) learne to set my lookes In an eternall Brake,",nature,sexuality,education,sensations,time,incarceration,
"[at the wellhead] practise iuggling, To keepe my face still fast, my hart still loose;",nature,theatre,preservation,facial_expressions,anatomy,social_relations,deception
